ACTIVE_ORG_1,ASSET_ID,PROBLEM_ABSTRACT,TICKET_NUMBER,TICKET_OPENED,TICKET_STATE,TICKET_TYPE,ACTIVE_ORG_x,ticket_create,month_create,year_create,ticket,ticket_type,1,2,3,4,5,6,1_2_min,2_3_min,3_4_min,4_5_min,5_6_min,first_Esc_date,Last_Esc_date,total_wt,Escalation_cnt,TICKET_OPENED_DATE,TICKET_CLOSED_DATE,TICKET_CLEARED_DATE,LAST_MODIFIED_DATE,TOD,SEVERITY,SEVERITY_CLASSIFICATION,CLIENT_NAME,LOCATION_ADDRESS_1,LOCATION_CITY,LOCATION_STATE_PROVINCE,LOCATION_ZIPPOSTAL,Client_Ticket,Clientticket,MCN,ORG_GROUP,ACTIVE_ORG_y,TICKET_CATEGORY,TICKET_TYPE_DESC_TX,RESOLUTION_TEXT,ROOT_CAUSE_DESC_TX,TROUBLE_REPT_DESC_TX,SA_TOUCHED,Tech_Touched_All,UPDATE_FLAG,Financial_Srvc,GOLIATH_Initial_Root_Cause,uno,open_fitst_min
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,"http://10.10.16.34:80/test.jsp-patrolINET-6-4005 pageDownTime:CRITICAL - specific #4005 at4ga03bhd12lssw0.els-an.att.net:Traps The number of seconds that Webpage http://10.10.16.34:80/test.jsp has been unavailable has reached 592.00, which falls outside t",272830332,1/1/2020 6:29,Closed,1,MO-BGTN-VOIP,1/1/2020 6:29,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:29,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,https://10.10.16.34:443/test.jsp-patrolINET-6-4012 pageStatus:CRITICAL - specific #4012 at4ga03bhd12lssw0.els-an.att.net:Traps Webpage https://10.10.16.34:443/test.jsp reports the following ALARM status code: 0.,272830333,1/1/2020 6:29,Closed,1,MO-BGTN-VOIP,1/1/2020 6:29,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:29,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
MO-BGTN-VOIP,DE4CO01BHF10BDSW0,bwDbMonitorDbUnavailable-6-6201:databaseserver:dbMonitor bwDbMonitorDbUnavailable: The DbMonitor process is unable to query the database for performance counters. Fault name: bwDbMonitorDbUnavailable. System name: de4co01bhf10bdsw0. Component: databaseser,272830337,1/1/2020 6:29,Closed,1,MO-BGTN-VOIP,1/1/2020 6:29,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:29,1/1/2020 7:44,1/1/2020 7:44,1/1/2020 7:44,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Network,Other,0,1,0,VOIP,,1,
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,https://10.10.16.38:443/test.jsp-patrolINET-6-4012 pageStatus:CRITICAL - specific #4012 at4ga03bhd12lssw0.els-an.att.net:Traps Webpage https://10.10.16.38:443/test.jsp reports the following ALARM status code: 0.,272830335,1/1/2020 6:29,Closed,1,MO-BGTN-VOIP,1/1/2020 6:29,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:29,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
MO-BGTN-VOIP,AT4GA02BC02BSSW0,arithmeticAlarm-6-57 arithmeticAlarm: An arithmetic alarm event has occurred. Disk performance (1)  Prolonged service time of 161 ms for volume sda.,272830310,1/1/2020 6:31,Closed,1,MO-BGTN-VOIP,1/1/2020 6:31,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:31,1/1/2020 8:10,1/1/2020 8:10,1/1/2020 8:10,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
US-GNMC-IPS,00270439F845,AT&T VPN Gateway UnableEstablishTunnel 00270439F845,272830339,1/1/2020 6:30,Cancel,1,US-GNMC-IPS,1/1/2020 6:30,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU-GCSC-BVP,USSPILUBSMS03R, USSPILUBSMS03R router is down at 2020-01-01 06:22:28,272830354,1/1/2020 6:30,Closed,1,GU-GCSC-BVP,1/1/2020 6:30,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:30,1/1/2020 14:11,1/1/2020 14:11,1/1/2020 14:11,6,4,,GLOBAL_AM,1207 HWY 45 N,COLUMBUS,MS,39705,,,,MC1048/AM8/2D,GU-GCSC-BVP,AIP,Auto Detect,PBX/LAN/CPE Power Outage,Environmental,Outage/Node Down,0,0,0,BVOIP,WAN,1,
GU-GCSC-HMC,USBFSLODETX01R,"SYSLOG>> USBFSLODETX01R - IP-4-DUPADDR: Duplicate address 10.0.4.1 on GigabitEthernet0/0/1.1, sourced by 0000.5e00.0101",272830344,1/1/2020 6:31,Closed,1,GU-GCSC-HMC,1/1/2020 6:31,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:31,1/1/2020 6:51,1/1/2020 6:35,1/1/2020 6:51,6,2,,M_BINFORD FENCE SUPPLY LTD,11306 W INTERSTATE 20,ODESSA,TX,79763,,,,AL_12452731,GU-GCSC-HMC,AIP,Auto Detect,Service restored before isolation,Network,SNMP,0,0,0,EVPN,NTF,1,
GU-GCSC-BVP,USPRIEFWTTX01R, USPRIEFWTTX01R router is down at 2020-01-01 06:10:49,272830319,1/1/2020 6:31,Closed,1,GU-GCSC-BVP,1/1/2020 6:31,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:31,1/1/2020 14:11,1/1/2020 14:11,1/1/2020 14:11,6,4,,Priefert Manufacturing,,,,,,,KA5697,685742,GU-GCSC-BVP,AIP,Auto Detect,PBX/LAN/CPE Power Outage,Environmental,Outage/Node Down,0,0,0,BVOIP,WAN,1,
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,"https://10.10.16.38:443/test.jsp-patrolINET-6-4005 pageDownTime:CRITICAL - specific #4005 at4ga03bhd12lssw0.els-an.att.net:Traps The number of seconds that Webpage https://10.10.16.38:443/test.jsp has been unavailable has reached 600.00, which falls outsi",272830320,1/1/2020 6:32,Closed,1,MO-BGTN-VOIP,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:32,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,"http://10.10.16.38:80/test.jsp-patrolINET-6-4005 pageDownTime:CRITICAL - specific #4005 at4ga03bhd12lssw0.els-an.att.net:Traps The number of seconds that Webpage http://10.10.16.38:80/test.jsp has been unavailable has reached 615.00, which falls outside t",272830361,1/1/2020 6:32,Closed,1,MO-BGTN-VOIP,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:32,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
MO-BGTN-VOIP,WS4DC01PBC,loopback-failure:IF-ws4dc01pbc.els-an.att.net/135.189.169.132  Ping failed to LoopBack interface in ws4dc01pbc.els-an.att.net.  TimeDown = 2020-01-01T06:22:41Z GMT.  New interface/slot alarms for this switch/host will be blocked.,272830321,1/1/2020 6:32,Closed,1,MO-BGTN-VOIP,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:32,1/1/2020 12:14,1/1/2020 12:14,1/1/2020 12:14,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Came Clear,Network,0,1,0,VOIP,,1,
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,"https://10.10.16.34:443/test.jsp-patrolINET-6-4005 pageDownTime:CRITICAL - specific #4005 at4ga03bhd12lssw0.els-an.att.net:Traps The number of seconds that Webpage https://10.10.16.34:443/test.jsp has been unavailable has reached 615.00, which falls outsi",272830360,1/1/2020 6:32,Closed,1,MO-BGTN-VOIP,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:32,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
US-GNMC-IPS,002704319B4E,AT&T VPN Gateway BackupFailure 002704319B4E,272830362,1/1/2020 6:32,Cancel,1,US-GNMC-IPS,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INPUNP9D3Y--C1R,SYSLOG:ASHE>> Event Flood Alarm: Node: INPUNP9D3Y--C1R BGP-[35]-ADJCHANGE: Received 10 events between 10/31/2020 01:17:01 and 10/31/2020 02:18:34.,272830327,1/1/2020 6:33,Cancel,1,AP-GCSC-VST,1/1/2020 6:33,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INBGLP9C4P--01R,SYSLOG:ASHE>> Event Flood Alarm: Node: INBGLP9C4P--01R BGP-[35]-ADJCHANGE: Received 10 events between 10/31/2020 02:52:29 and 10/31/2020 02:52:34.,272830328,1/1/2020 6:33,Cancel,1,AP-GCSC-VST,1/1/2020 6:33,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INBGLP9D4T--C1R,SYSLOG:ASHE>> Threshold Alarm: Node: INBGLP9D4T--C1R BGP-[35]-ADJCHANGE: 8 events in less than 60m for neighbor 32.24.249.213 occuring at: - 10/23/2020 21:57:40 - 10/25/2020 19:46:17 - 10/27/2020 18:29:29 - 10/27/2020 18:38:44 - 10/27/2020 19:02:11 - 11/1,272830402,1/1/2020 6:33,Cancel,1,AP-GCSC-VST,1/1/2020 6:33,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO-BGTN-VOIP,AT4GA04BHD01FDSW0,"patrolApplication-6-1023:283482453 specific #1023 at4ga04bhd01fdsw0.els-an.att.net:Traps Logfile /ATTrun/sas/logs/att/eventlog reports: ""01/01/2020 06:28:00|LOG_CRITICAL|DB1002|DBCON|ajp-nio-127.0.0.1-8010-exec-184|1649489||DB Connection Failed|Exception ",272830322,1/1/2020 6:32,Closed,1,MO-BGTN-VOIP,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:32,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
ER-GCSC-HMC,RT-VRMON-ID05-S02-IE,SYSLOG:C6KPWR-SP-4-DISABLED - RT-VRMON-ID05-S02-IE -  power to module in slot 9 set off (Module not responding to Keep Alive polling),272830363,1/1/2020 6:32,Closed,1,ER-GCSC-HMC,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:32,1/1/2020 8:38,1/1/2020 6:38,1/1/2020 8:38,6,4,,VALUE TRANSFORMATION SERVICES S.P.A,Via Monte Bianco 18,Verona,,37132,,,,MR_VTSS,ER-GCSC-HMC,AIP,Auto Detect,seems like the module was removed and re-added ,Scheduled Project,Other,0,1,0,OUT,WAN,1,
AP-GCSC-VST,IDJAKP9G7V--02R,SYSLOG:ASHE>> Event Flood Alarm: Node: IDJAKP9G7V--02R BGP-[35]-ADJCHANGE: Received 10 events between 10/26/2020 02:09:05 and 10/29/2020 12:47:57.,272830326,1/1/2020 6:32,Cancel,1,AP-GCSC-VST,1/1/2020 6:32,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,CNGSIBNBA--03R,SYSLOG:ASHE>> Event Flood Alarm: Node: CNGSIBNBA--03R BGP-[35]-ADJCHANGE: Received 10 events between 11/2/2020 03:59:37 and 11/2/2020 12:54:15.,272830404,1/1/2020 6:34,Cancel,1,AP-GCSC-VST,1/1/2020 6:34,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INMUBP9F0H--01R,SYSLOG:ASHE>> Event Flood Alarm: Node: INMUBP9F0H--01R BGP-[35]-ADJCHANGE: Received 10 events between 10/30/2020 12:25:06 and 11/2/2020 14:45:40.,272830405,1/1/2020 6:34,Cancel,1,AP-GCSC-VST,1/1/2020 6:34,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INBGLP9C4L--D2R,SYSLOG:ASHE>> Event Flood Alarm: Node: INJAIP9H8P--D1R BGP-[35]-ADJCHANGE: Received 10 events between 10/31/2020 10:29:31 and 11/2/2020 16:16:04.,272830406,1/1/2020 6:34,Cancel,1,AP-GCSC-VST,1/1/2020 6:34,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INPUNP9C4N--02R,SYSLOG:ASHE>> Event Flood Alarm: Node: INPUNP9C4N--02R BGP-[35]-ADJCHANGE: Received 10 events between 10/31/2020 11:30:55 and 11/2/2020 22:00:52.,272830408,1/1/2020 6:34,Cancel,1,AP-GCSC-VST,1/1/2020 6:34,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR-GCSC-HMC,CTAC-USUSPSFLOTX01R,$ Resolved - Site is up and service has restored,272830364,1/1/2020 6:34,Closed,1,GR-GCSC-HMC,1/1/2020 6:34,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:34,1/2/2020 4:52,1/2/2020 4:52,1/2/2020 13:13,6,1,,USPS - POST,2300  OLYMPIA DRIVE ,FLOWER MOUND,TX,75028,INC000004690792,4690792,,USPS,GR-GCSC-HMC,AIP,Auto Detect,Service restored before isolation,Network,Other,1,1,0,OUTSOURCING,WAN,1,
AP-GCSC-VST,CNGSIBNBA--04R,SYSLOG:ASHE>> Event Flood Alarm: Node: CNGSIBNBA--04R BGP-[35]-ADJCHANGE: Received 10 events between 11/2/2020 02:45:33 and 11/3/2020 05:51:56.,272830413,1/1/2020 6:35,Cancel,1,AP-GCSC-VST,1/1/2020 6:35,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INJAIP9H8P--D1R,SYSLOG:ASHE>> Event Flood Alarm: Node: INBGLP9C4L--D2R BGP-[35]-ADJCHANGE: Received 10 events between 10/22/2020 08:05:52 and 11/3/2020 08:28:13.,272830416,1/1/2020 6:35,Cancel,1,AP-GCSC-VST,1/1/2020 6:35,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU-GCSC-MIS,12.246.244.146," 12.246.244.146 server is down at 2020-01-01 06:22:26 - ATTSI, INFORMATION TECHNOLOGY OP",272830418,1/1/2020 6:35,Closed,1,GU-GCSC-MIS,1/1/2020 6:35,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:35,1/1/2020 14:03,1/1/2020 14:03,1/1/2020 14:03,6,1,,"ATTSI, INFORMATION TECHNOLOGY OP",777 SPORTS ST,DALLAS,TX,75207,,,264447,264447,GU-GCSC-MIS,AIP,Auto Detect,Service restored before isolation,Network,Outage/Cannot Ping,0,0,0,MIS,UNREACH,1,
AP-GCSC-VST,INGURP9H7J--C2R,SYSLOG:ASHE>> Threshold Alarm: Node: INGURP9H7J--C2R BGP-[35]-ADJCHANGE: 8 events in less than 60m for neighbor 32.24.210.45 occuring at: - 10/23/2020 18:16:15 - 10/24/2020 07:19:42 - 10/24/2020 07:19:46 - 10/24/2020 07:19:58 - 10/28/2020 06:39:15 - 10/28,272830431,1/1/2020 6:35,Cancel,1,AP-GCSC-VST,1/1/2020 6:35,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,INBLRP9E5T--01R,SYSLOG:ASHE>> Event Flood Alarm: Node: INBLRP9E5T--01R BGP-[35]-ADJCHANGE: Received 10 events between 10/30/2020 02:37:43 and 11/3/2020 23:04:01.,272830430,1/1/2020 6:35,Cancel,1,AP-GCSC-VST,1/1/2020 6:35,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-GCSC-VST,MYCYBP9I5N--01R,SYSLOG:ASHE>> Event Flood Alarm: Node: MYCYBP9I5N--01R BGP-[35]-ADJCHANGE: Received 10 events between 11/6/2020 00:46:00 and 11/6/2020 00:47:12.,272830435,1/1/2020 6:36,Cancel,1,AP-GCSC-VST,1/1/2020 6:36,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU-GCSC-HMC,USAHMEMISIN03R,"SYSLOG>> USAHMEMISIN03R - IP-4-DUPADDR: Duplicate address 192.168.6.3 on GigabitEthernet0/0/1, sourced by 0015.b71d.99ff",272830441,1/1/2020 6:36,Closed,1,GU-GCSC-HMC,1/1/2020 6:36,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:36,1/1/2020 6:57,1/1/2020 6:40,1/1/2020 6:58,6,2,,M_ALICK'S HOME MEDICAL EQUIPMENT,611 E DOUGLAS RD,MISHAWAKA,IN,465451464,,,,AL_12450953,GU-GCSC-HMC,AIP,Auto Detect,Service restored before isolation,Network,SNMP,0,0,0,EVPN,NTF,1,
ER-GCSC-HMC,CNELEISHA310202UJZZ01,"Circuit down:AVPN:MEYF.104231..ATI:pingResponseState received for CNELEISHA310202UJDM01 (2001:1890:e00e:fffe::3:2e41) from durnec03 cec03-1.  Device fails to respond to ping.  Wed, 01 Jan 2020 06:34:05 GMT+00:00.  D2 IMPACTS: CNELEISHA310202UJRT01,pingRes",272830445,1/1/2020 6:36,Closed,1,ER-GCSC-HMC,1/1/2020 6:36,1,2020,272830445,1,1/2/2020 2:11,1/2/2020 4:13,1/2/2020 6:33,1/2/2020 8:10,,,122,139,97,,,1/2/2020 2:11,1/2/2020 8:10,359,4,1/1/2020 6:36,1/3/2020 3:37,1/2/2020 7:03,1/3/2020 3:51,6,4,,ELECTROLUX IT SOLUTIONS AB_8310007522413,Huangcheng West Road No.2688 Fengxian,Shanghai,Shanghai,201400,INC0386400,INC0386400,,NF_EISA,ER-GCSC-HMC,,Auto Detect,Cut cable outside customer site due to customer construction works. (fixed by PTT),Circuit Outage,SNMP,1,1,0,FLEXWARE,,1,1174
AP-GCSC-VST,INBGLP9C4P--02R,SYSLOG:ASHE>> Event Flood Alarm: Node: INBGLP9C4P--02R BGP-[35]-ADJCHANGE: Received 10 events between 10/31/2020 02:52:17 and 11/6/2020 13:08:03.,272830448,1/1/2020 6:37,Cancel,1,AP-GCSC-VST,1/1/2020 6:37,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
